epoch,train_loss,val_loss,val_macro_f1
1,0.4510483672264137,0.2817221181997981,0.8699528326335977
2,0.11235595573384703,0.24194660180590932,0.8899600891515058
3,0.12010422656685647,0.15685988808234122,0.9257896182367481
4,0.05253542388905271,0.20135383639928592,0.8899600891515058
5,0.029784466369805033,0.362651164667594,0.7634803921568627
6,0.0411043382470945,0.1920909931197994,0.8612508986340762
7,0.01509419431742041,0.16063386836895052,0.8847072879330944
8,0.013881661463362326,0.2327028419532924,0.8323503863210351
9,0.04883508049338012,0.17740472365614665,0.8501552795031055
10,0.0037262580767277232,0.1759075903492965,0.9099673456694137
11,0.0020767914995488486,0.15915382440670012,0.9373376623376624
12,0.018222579161452666,0.19217561945859632,0.8985492010092515
13,0.0026481345199975844,0.18844090538688119,0.9164502164502164
14,0.0008136246807057843,0.19270424861243776,0.9164502164502164
15,0.0004891438616160903,0.1964084085890145,0.9164502164502164
16,0.00036213304038900345,0.19874518724409332,0.9073748200287954
17,0.00028187118812753303,0.20595088080259358,0.9164502164502164
18,0.00026002031713837385,0.21105044917324123,0.9073748200287954
19,0.00020153171521639324,0.21286631571798503,0.9073748200287954
