epoch,train_loss,val_loss,val_macro_f1
1,1.242317365644998,1.221768249501836,0.4758653392804429
2,0.9532774714100173,0.8447981930767317,0.706301340828205
3,0.6964770243403225,1.2046698338009534,0.44465237376087346
4,0.5698331271288903,0.7155441842548588,0.7166742783871625
5,0.5017923586955227,0.8661032584664735,0.6316385636381888
6,0.47811792486044813,0.6289570597169313,0.8107341627275854
7,0.4353661273468888,0.5774881107819513,0.7867084526152867
8,0.37215403187087337,0.566163139022076,0.7860390517059758
9,0.376551940184465,0.575158310677721,0.8114005898083243
10,0.3515471821179206,0.6189266501930711,0.7616762380431301
11,0.34781251212472736,0.5181036264167549,0.7982710887081376
12,0.3162742616003846,0.6341242885960199,0.7227657586064448
13,0.2989460486433707,0.4958262767816455,0.8301530469134654
14,0.2926683476639749,0.7593426213363291,0.7352488731909462
15,0.2861633616071914,0.7422924908239954,0.7411749027220512
16,0.29022546669998567,0.49038859630495774,0.8152611164086805
17,0.24629565013388707,0.7481260880287447,0.7383406825177464
18,0.2875976372824633,0.420984989620861,0.8292133679051586
19,0.21897959810960105,0.42806937186520333,0.8422531185100018
20,0.22096491702039525,0.69453095077233,0.763055318446154
21,0.2010806494423099,0.42563142963332834,0.8284435870642768
22,0.19096768689535035,0.5591092189204507,0.7990662244123058
23,0.15790647854535536,0.7541006185075779,0.7760257032689443
24,0.15914275061781485,0.5310422327234338,0.8140027076100993
25,0.14481893410567775,0.9797462192870715,0.6087140258127657
26,0.20737042389437024,0.5398859499032016,0.8216946985879972
27,0.13150770850053245,0.4740231502318629,0.8553516223539298
28,0.1319830243266554,0.47111225176428884,0.8358132174910353
29,0.06798189965333891,0.5740942528828438,0.8274518824828423
30,0.05182421982164451,0.7047929528309274,0.7891377848261584
31,0.06210675981836407,0.515817136846367,0.85952157435764
32,0.042632556521734796,0.5663665127337287,0.822669424833049
33,0.048669918416299786,0.5218255137493882,0.8490997393982469
34,0.04337381974271684,0.6246735756647401,0.8343299542836768
35,0.026984599435592713,0.5673875263240671,0.8333697341962304
36,0.07518854460249974,0.8358562602203127,0.7343010275109306
37,0.041103921609148594,0.6020915374121208,0.8375927318995774
38,0.04891202294797995,0.5441722887823928,0.8509595594510206
39,0.026093559247126485,0.6803782581510939,0.8268027127117095
40,0.017480950917023032,0.6003397960273713,0.8380304554929401
