epoch,train_loss,val_loss,val_macro_f1
1,1.195775678399977,0.8707944877407093,0.5906849935146995
2,0.5803655089226916,0.5493147879684527,0.7560071136705312
3,0.42556881742586566,0.4784779406582136,0.7891217054265688
4,0.3378938432244613,0.509863322262937,0.7856553646252021
5,0.29600694208527156,0.495770517408539,0.7791333609868571
6,0.2708302405642849,0.5718484554883729,0.7217374357183552
7,0.2592405018440644,0.41523135326069255,0.8270528536728761
8,0.21122287051253905,0.42430717803035994,0.7938136747743214
9,0.19838907046294177,0.40839249297127206,0.8032149632362703
10,0.19870113205692286,0.3969596735554038,0.8429277545215835
11,0.15787632797494297,0.5989484218735769,0.7485940856317236
12,0.20512876524263526,0.3563445442081115,0.8518062640655245
13,0.13325180796018998,0.4781582503738799,0.7966327958775982
14,0.11164787574771136,0.42480676161810527,0.815524360326959
15,0.10738530334282416,0.3564672599802363,0.8498384882397025
16,0.08182162149024538,0.428028100512806,0.830770985766884
17,0.06847374135886822,0.34588658655245685,0.8705486371330801
18,0.05308032313825427,0.36911734892296666,0.855387691850883
19,0.09335098423340887,0.4955699950302203,0.798274159750609
20,0.06342208173888095,0.4619325424105392,0.8525552545579637
21,0.045677697425241845,0.48315217488787954,0.8298241063518655
22,0.027097496912895952,0.48559095143036524,0.8311724658632165
23,0.04652380605810488,0.44559885924344234,0.8529992003073286
24,0.08739797596637165,0.6150719032386424,0.7979395409276027
25,0.03629025993055966,0.44408420639334567,0.8605868769551868
